"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"LATN022  PO-01 SP2021138675","LATN022  PO-01 SP2021","840","930","-M-W---","ONLISYNC","OnCampus"
"LATN033  PO-01 SP2021138677","LATN033  PO-01 SP2021","1245","1400","--T-R--","ONLISYNC","OnCampus"
"LEAD010  CM-01 SP2020127766","LEAD010  CM-01 SP2020","935","1050","--T-R--","KRV451 ","OnCampus"
"LEAD142  CM-01 SP2020127642","LEAD142  CM-01 SP2020","1445","1730","--T----","BC1   ","OnCampus"
"LEAD179D HM-01 SP2021139692","LEAD179D HM-01 SP2021","1615","1800","--T----","ONLI    ","OnCampus"
"LGCS010  PO-01 SP2020128859","LGCS010  PO-01 SP2020","1315","1430","--T-R--","PR101 ","OnCampus"
"LGCS010  PO-02 FA2020133216","LGCS010  PO-02 FA2020","1430","1545","-M-W---","ONLIWEB ","OnCampus"
"LGCS011  PO-01 SP2020128862","LGCS011  PO-01 SP2020","1445","1600","--T-R--","SCOM103 ","OnCampus"
"LGCS124  PO-01 FA2020133225","LGCS124  PO-01 FA2020","1100","1215","-M-W---","ONLIWEB ","OnCampus"
"LGCS191  PO-04 SP2021137040","LGCS191  PO-04 SP2021","0","0","-------","ONLIASYN","OnCampus"
"LGCS191  PO-18 SP2020130017","LGCS191  PO-18 SP2020","0","0","-------","ARR    ","OnCampus"
"LGCS191  PO-20 FA2020131814","LGCS191  PO-20 FA2020","0","0","-------","ONLIWEB ","OnCampus"
"LIT 099  JT-01 FA2020134203","LIT 099  JT-01 FA2020","915","1030","--T-R--","ONLI    ","OnCampus"
"LIT 099A CM-01 SP2021139119","LIT 099A CM-01 SP2021","1615","1730","--T-R--","ONLI    ","OnCampus"
"LIT 102  CM-01 SP2020127725","LIT 102  CM-01 SP2020","935","1050","-M-W---","KRV161 ","OnCampus"
"LIT 111  CM-01 SP2020129581","LIT 111  CM-01 SP2020","1100","1215","-M-W---","BC2   ","OnCampus"
"MATH010W PZ-01 SP2020127945","MATH010W PZ-01 SP2020","1315","1600","---W---","MCEART","OnCampus"
"MATH030  CM-01 SP2021137776","MATH030  CM-01 SP2021","1430","1545","-M-W---","ONLI    ","OnCampus"
"MATH030  CM-03 FA2020134158","MATH030  CM-03 FA2020","1100","1215","-M-W---","ONLI    ","OnCampus"
"MATH030  CM-05 FA2020135387","MATH030  CM-05 FA2020","1615","1730","-M-W---","ONLI    ","OnCampus"
"MATH031  PZ-01 SP2020129702","MATH031  PZ-01 SP2020","900","950","-M-W-F-","FL104 ","OnCampus"
"MATH031H PO-01 SP2021138696","MATH031H PO-01 SP2021","0","0","-------","ONLIASYN","OnCampus"
"MATH031S PO-01 FA2020133236","MATH031S PO-01 FA2020","1000","1050","-M-W-F-","ONLIWEB ","OnCampus"
"MATH032  PO-02 SP2020128875","MATH032  PO-02 SP2020","1445","1600","--T-R--","ML2113","OnCampus"
"MATH055  CM-01 SP2020127674","MATH055  CM-01 SP2020","935","1050","--T-R--","RN105 ","OnCampus"
"MATH055  HM-03 FA2020130732","MATH055  HM-03 FA2020","1245","1400","--T-R--","ONLI    ","OnCampus"
"MATH055  SC-01 SP2021139158","MATH055  SC-01 SP2021","1100","1215","-M-W---","ONLI    ","OnCampus"
"MATH058  PO-01 FA2020133241","MATH058  PO-01 FA2020","1100","1215","-----F-","ONLIWEB ","OnCampus"
"MATH058B PO-01 SP2020128879","MATH058B PO-01 SP2020","935","1050","--T-R--","ML2131","OnCampus"
"MATH060  CM-02 SP2021137782","MATH060  CM-02 SP2021","915","1030","--T-R--","ONLI    ","OnCampus"
"MATH060  PO-03 FA2020133244","MATH060  PO-03 FA2020","1245","1400","-M-W---","ONLIWEB ","OnCampus"
"MATH060  SC-01 FA2020132411","MATH060  SC-01 FA2020","840","930","-M-W-F-","ONLI    ","OnCampus"
"MATH073  HM-02 SP2020126555","MATH073  HM-02 SP2020","1100","1150","-M-W-F-","SHANB442","OnCampus"
"MATH073  HM-07 SP2021139425","MATH073  HM-07 SP2021","800","850","-M-W-F-","ONLI    ","OnCampus"
"MATH102  PZ-01 SP2021137288","MATH102  PZ-01 SP2021","1100","1215","-M-W---","TBA    ","OnCampus"
"MATH111  CM-01 SP2020127676","MATH111  CM-01 SP2020","900","950","-M-W-F-","RN12  ","OnCampus"
"MATH113  PO-01 FA2020133250","MATH113  PO-01 FA2020","915","1030","--T-R--","ONLIWEB ","OnCampus"
"MATH115  HM-01 SP2020122261","MATH115  HM-01 SP2020","1315","1430","---W-F-","SHAN2465","OnCampus"
"MATH131  HM-01 SP2020122262","MATH131  HM-01 SP2020","1315","1430","-M-W---","SHAN2454","OnCampus"
"MATH131  PO-01 FA2020133251","MATH131  PO-01 FA2020","1120","1210","-M-W-F-","ONLIWEB ","OnCampus"
"MATH147  PO-01 SP2020128888","MATH147  PO-01 SP2020","1100","1215","-M-W---","ML2099","OnCampus"
"MATH157  HM-01 SP2020P2122265","MATH157  HM-01 SP2020P2","900","950","-M-W-F-","SHANB442","OnCampus"
"MATH168  HM-03 SP2020121958","MATH168  HM-03 SP2020","935","1050","--T-R--","SHANB442","OnCampus"
"MATH191  CM-01 SP2021137786","MATH191  CM-01 SP2021","730","845","---W---","ONLI    ","OnCampus"
"MATH195  CM-01 FA2020132075","MATH195  CM-01 FA2020","1100","1215","-M-W---","ONLI    ","OnCampus"
"MATH197  HM-01 FA2020130764","MATH197  HM-01 FA2020","1100","1150","--T----","ONLI    ","OnCampus"
"MATH197  HM-03 FA2020130768","MATH197  HM-03 FA2020","1100","1150","--T----","ONLI    ","OnCampus"
"MATH197  HM-05 FA2020130772","MATH197  HM-05 FA2020","1100","1150","--T----","ONLI    ","OnCampus"
"MATH197  HM-07 SP2020129747","MATH197  HM-07 SP2020","1100","1150","--T----","SHAN2450","OnCampus"
"MATH198  HM-02 FA2020130785","MATH198  HM-02 FA2020","1615","1730","-M-----","ONLI    ","OnCampus"
"MATH199  HM-01 SP2021136036","MATH199  HM-01 SP2021","1615","1730","---W---","ONLI    ","OnCampus"
"MLLC122  PZ-01 FA2020134348","MLLC122  PZ-01 FA2020","1800","1915","-M-W---","ONLI    ","OnCampus"
"MOBI191B PO-40 SP2020126261","MOBI191B PO-40 SP2020","0","0","-------","ARR    ","OnCampus"
"MOBI191B PO-56 SP2021140015","MOBI191B PO-56 SP2021","0","0","-------","ONLIASYN","OnCampus"
"MOBI194B PO-04 SP2021137086","MOBI194B PO-04 SP2021","0","0","-------","ONLIASYN","OnCampus"
"MOBI194B PO-36 SP2021140025","MOBI194B PO-36 SP2021","0","0","-------","ONLIASYN","OnCampus"
"MOBI194B PO-48 SP2020126263","MOBI194B PO-48 SP2020","0","0","-------","ARR    ","OnCampus"
"MOBI194B PO-48 SP2021140028","MOBI194B PO-48 SP2021","0","0","-------","ONLIASYN","OnCampus"
"MS  049  PZ-01 FA2020133660","MS  049  PZ-01 FA2020","1615","1730","-M-W---","ONLI    ","OnCampus"
"MS  050  PZ-01 SP2021139523","MS  050  PZ-01 SP2021","1430","1545","-M-W---","TBA    ","OnCampus"
"MS  051  SC-01 SP2021137757","MS  051  SC-01 SP2021","1100","1215","--T-R--","ONLI    ","OnCampus"
"MS  053  SC-01 SP2021137756","MS  053  SC-01 SP2021","1000","1200","-M-W---","ONLI    ","OnCampus"
"MS  073  PZ-01 FA2020134559","MS  073  PZ-01 FA2020","1615","1730","--T-R--","ONLI    ","OnCampus"
