"calendarSessionExternalId","courseSectionExternalId"
"SP2021","ARBC014  CM-01 SP2021"
"FA2020","ARBC015  CM-01 FA2020"
"SP2020","ARBC016  CM-01 SP2020"
"SP2021","ARBC016  CM-01 SP2021"
"FA2020","ARBC033  CM-01 FA2020"
"FA2020","ARBC033  CM-02 FA2020"
"SP2020","ARBC044  CM-01 SP2020"
"SP2021","ARBC044  CM-01 SP2021"
"FA2020","ARBC130  CM-01 FA2020"
"SP2021","ARBC148  CM-01 SP2021"
"SP2020","ARBC166  CM-01 SP2020"
"FA2020","ARBT122  JT-01 FA2020"
"SP2021","ARBT148  CM-01 SP2021"
"SP2020","ARCN115  SC-01 SP2020"
"FA2020","ARCN120  SC-01 FA2020"
"SP2021","ARCN125  SC-01 SP2021"
"SP2020","ARCN191  SC-01 SP2020"
"SP2021","ARCN191  SC-01 SP2021"
"FA2020","ARHI001A PO-01 FA2020"
"FA2020","ARHI001A PO-01 FA2020"
"SP2020","ARHI001B PO-01 SP2020"
"SP2021","ARHI001B PO-01 SP2021"
"SP2021","ARHI120  PO-01 SP2021"
"SP2021","ARHI120  PO-01 SP2021"
"SP2020","ARHI122  PO-01 SP2020"
"FA2020","ARHI130  PO-01 FA2020"
"SP2020","ARHI131  PO-01 SP2020"
"SP2021","ARHI131  PO-01 SP2021"
"SP2021","ARHI131  PO-01 SP2021"
"SP2020","ARHI137  PZ-01 SP2020"
"SP2021","ARHI140  PO-01 SP2021"
"SP2020","ARHI153  SC-01 SP2020"
"SP2021","ARHI153  SC-01 SP2021"
"SP2021","ARHI153  SC-01 SP2021"
"FA2020","ARHI160  SC-01 FA2020"
"SP2020","ARHI161  SC-01 SP2020"
"SP2020","ARHI162  SC-01 SP2020"
"SP2021","ARHI162  SC-01 SP2021"
"SP2020","ARHI173  PO-01 SP2020"
"SP2021","ARHI177  PZ-01 SP2021"
"FA2020","ARHI178  PO-02 FA2020"
"FA2020","ARHI178  PO-03 FA2020"
"FA2020","ARHI179  PO-01 FA2020"
"SP2021","ARHI180R SC-01 SP2021"
"SP2020","ARHI183  PZ-01 SP2020"
"FA2020","ARHI183  PZ-01 FA2020"
"SP2021","ARHI184  SC-01 SP2021"
"SP2021","ARHI185  SC-01 SP2021"
"SP2021","ARHI185  SC-01 SP2021"
"SP2020","ARHI186A PZ-01 SP2020"
"SP2021","ARHI186A PZ-01 SP2021"
"SP2020","ARHI186B PZ-01 SP2020"
"SP2021","ARHI186B PZ-01 SP2021"
"SP2020","ARHI186D PO-01 SP2020"
"SP2021","ARHI186G PO-01 SP2021"
"SU2020S1","ARHI186I PZ-01 SU2020S1"
"SU2020S1","ARHI186I PZ-01 SU2020S1"
"SP2021","ARHI186L PO-01 SP2021"
"SP2020","ARHI186M SC-01 SP2020"
"SP2021","ARHI186M SC-01 SP2021"
"SP2020","ARHI186W PO-01 SP2020"
"FA2020","ARHI187  SC-01 FA2020"
"SP2020","ARHI188  SC-01 SP2020"
"FA2020","ARHI189  SC-01 FA2020"
"SP2020","ARHI191  PO-04 SP2020"
"SP2020","ARHI191  PO-12 SP2020"
"SP2020","ARHI191  PO-16 SP2020"
"SP2021","ARHI191  PO-04 SP2021"
"SP2021","ARHI191  PO-04 SP2021"
"SP2020","ARHI191  SC-01 SP2020"
"SP2020","ARHI191  SC-02 SP2020"
"SP2020","ARHI191  SC-03 SP2020"
"SP2020","ARHI191  SC-04 SP2020"
"SP2021","ARHI191  SC-01 SP2021"
"FA2020","ART 002  HM-01 FA2020"
"FA2020","ART 002  HM-01 FA2020"
"FA2020","ART 005  PO-01 FA2020"
"FA2020","ART 005  PO-01 FA2020"
"SP2021","ART 005  PO-01 SP2021"
"SP2020","ART 010  PO-01 SP2020"
"SP2020","ART 010  PO-01 SP2020"
"FA2020","ART 010  PO-01 FA2020"
"FA2020","ART 010  PO-01 FA2020"
"FA2020","ART 010  PO-02 FA2020"
"SP2021","ART 010  PO-01 SP2021"
