"courseSectionExternalId","staffExternalId"
"CSCI105  HM-01 SP2020","40043116"
"CSCI105  HM-02 FA2021","40169273"
"CSCI105  PO-02 SP2021","10357926"
"CSCI105  PO-02 SP2021","10346762"
"CSCI131  HM-01 FA2021","40199068"
"CSCI131  HM-01 FA2021","40199068"
"CSCI131  HM-01 FA2021","40199068"
"CSCI131  HM-02 FA2021","40199068"
"CSCI133  PO-01 FA2020","10337403"
"CSCI140  PO-01 SP2020","10089127"
"CSCI140  PO-01 FA2021","10180184"
"CSCI151  PO-01 FA2020","10180184"
"CSCI158  HM-02 SP2020","40169711"
"CSCI181  CM-01 SP2020","30366834"
"CSCI181AAHM-01 SP2021","40153189"
"CSCI181ABHM-02 FA2021","40005485"
"CSCI181V PO-01 SP2021","10004334"
"CSCI181Y HM-01 SP2021","40005491"
"CSCI186  HM-01 FA2020","40043116"
"CSCI189  HM-01 FA2021","40043116"
"CSCI190  PO-01 FA2021","10180184"
"CSCI190  PO-04 FA2021","10346762"
"CSCI191  PO-08 SP2020","10004334"
"CSCI191  PO-08 SP2021","10337403"
"CSCI191  PO-16 SP2021","10180184"
"CSCI192  PO-32 SP2020","10337403"
"CSCI192  PO-04 SP2021","10357926"
"CSCI192  PO-08 SP2021","10337403"
"CSCI192  PO-20 SP2021","10101654"
"DANC012  PO-01 FA2020","10043312"
"DANC012  PO-01 SP2021","10043312"
"DANC050  PO-01 SP2021","10337478"
"DANC091  SC-01 FA2020","20268900"
"DANC106B SC-01 FA2020","20252405"
"DANC122  PO-01 FA2020","10364724"
"DANC122  PO-01 FA2021","10043312"
"DANC122 PPO-01 SP2020","10043312"
"DANC124  PO-01 FA2020","10042972"
"DANC124 PPO-01 FA2020","10043312"
"DANC124 PPO-01 SP2021","10043312"
"DANC137  SC-01 SP2020","20252405"
"DANC150C PO-01 FA2021","10043481"
"DANC151 PPO-01 FA2020","10043312"
"DANC152  PO-02 FA2021","10351749"
"DANC152 PPO-01 FA2021","10351749"
"DANC166  PO-01 FA2021","10337478"
"DANC180  PO-01 SP2021","10043312"
"DANC192  PO-04 FA2021","10043312"
"DANC193  SC-01 SP2021","20252405"
"DANC193  SC-01 FA2021","20252405"
"EA  010  PO-02 FA2020","10144059"
"EA  010  PO-01 SP2021","10196880"
"EA  020  PO-01 SP2020","10179615"
"EA  020  PO-01 SP2021","10356603"
"EA  030  PO-01 FA2020","10144059"
"EA  030L KS-01 SP2020","20268919"
"EA  050  PZ-01 FA2021","50435462"
"EA  055L KS-01 SP2021","20219102"
"EA  055L KS-01 SP2021","20219102"
"EA  090  PZ-01 SP2020","50435462"
"EA  100  KS-0  SP2020","20209387"
"EA  100  KS-0  SP2021","20209387"
"EA  101  PO-01 FA2021","10351684"
"EA  131  PZ-01 FA2021","50446137"
"EA  140  PZ-01 SP2020","50010679"
"EA  144  PZ-01 SU2020S1","50010739"
"EA  150  PZ-01 FA2020","50058401"
"EA  173  PO-01 SP2020","10339810"
"EA  190L KS-01 FA2020","20042221"
"EA  190L KS-01 FA2021","20042221"
"ECON051  PO-02 SP2020","10304579"
"ECON051  PZ-01 FA2020","50339865"
"ECON052  PO-04 SP2021","10120163"
"ECON052  PO-01 FA2021","10361283"
"ECON052  PZ-01 FA2021","50058024"
"ECON052  SC-01 FA2021","20268811"
"ECON057B PO-01 SP2020","10033472"
"ECON086  CM-05 FA2020","30021208"
"ECON091  PZ-01 SP2021","50010738"
"ECON091  PZ-01 SU2021Z1","50454904"
"ECON097  CM-01 SP2021","30321862"
"ECON100  CM-01 FA2020","30004460"
"ECON100  CM-01 FA2021","30004460"
"ECON101  CM-03 SP2020","30295116"
"ECON101  CM-04 SP2020","30295116"
"ECON101  CM-05 SP2021","30338692"
"ECON101  CM-02 FA2021","30300112"
"ECON101  CM-03 FA2021","30075301"
"ECON101  PO-01 SP2021","10119823"
"ECON102  CM-06 SP2021","30353029"
"ECON107  CM-01 FA2021","30293905"
"ECON107  PO-01 SP2020","10354731"
"ECON107  PO-02 FA2020","10196880"
"ECON111  SC-01 FA2020","20187764"
"ECON119  PO-01 FA2021","10213581"
"ECON120  CM-04 SP2020","30366830"
"ECON120  CM-04 FA2020","20056449"
"ECON125  CM-04 FA2020","30337783"
"ECON125  PO-01 SP2021","10042412"
"ECON126  CM-01 SP2020","30212591"
"ECON129  CM-01 FA2020","30153484"
"ECON129  CM-03 FA2020","30153484"
"ECON129  PO-01 SP2020","10099275"
"ECON133  SC-01 SP2021","20256430"
"ECON134  CM-01 SP2020","30210025"
"ECON134  CM-03 SP2020","30210025"
"ECON134  CM-01 FA2021","30087486"
"ECON142  CM-01 FA2020","30075286"
"ECON154  CM-01 SP2020","30337790"
"ECON156  PO-01 FA2021","10033472"
"ECON160  CM-01 SP2020","30214678"
"ECON165  CM-02 SP2021","30087392"
"ECON166  PO-01 SP2021","10278951"
"ECON167  PO-01 FA2020","10213581"
"ECON171  CM-01 SP2021","30238091"
"ECON171  CM-02 SP2021","30238091"
"ECON172  CM-01 SP2020","30366831"
"ECON175  CM-01 FA2021","30212591"
"ECON175  SC-01 FA2021","20056449"
"ECON180  CM-01 SP2020","30032910"
"ECON180  CM-02 FA2021","30075306"
"ECON196  CM-01 SP2020","30353378"
"EDUC302G CG-01 SP2020","75024655"
"ENGL030  PZ-02 FA2021","50058024"
"ENGL031  PZ-01 SP2021","50221622"
"ENGL067  PO-01 FA2020","10358080"
"ENGL102  PO-01 FA2021","10233981"
"ENGL102  SC-01 SP2021","20247422"
"ENGL130  SC-01 FA2020","20173557"
"ENGL170G PO-01 SP2021","10233981"
"ENGL173  SC-01 SU2020S5","20252259"
"ENGL184  SC-01 FA2021","20252259"
"ENGL189B PO-01 SP2020","10358080"
"ENGL191  PO-16 SP2020","10120171"
"ENGL191  PO-40 FA2021","10043340"
"ENGL195  PO-04 FA2021","10087641"
"ENGL198  SC-01 SI2020","20247422"
"ENGL199T SC-02 SP2020","20260064"
"ENGL199T SC-03 SP2020","20187990"
"ENGR004  HM-01 FA2021","40188789"
"ENGR004  HM-03 FA2021","40188789"
"ENGR004L HM-01 SP2020","40003433"
"ENGR004L HM-01 SP2020","40193798"
"ENGR004L HM-01 SP2021","40043284"
"ENGR004L HM-02 FA2021","40188789"
"ENGR004L HM-04 FA2021","40193798"
"ENGR004L HM-04 FA2021","40188789"
"ENGR072  HM-01 SP2020P1","40005488"
"ENGR072  HM-02 SP2020P1","40001194"
"ENGR079  HM-03 FA2020","40169710"
"ENGR079  HM-08 FA2020","40169272"
"ENGR079  HM-02 FA2021","40005488"
"ENGR079  HM-05 FA2021","40043116"
"ENGR079  HM-06 FA2021","40169272"
"ENGR079  HM-07 FA2021","40169272"
"ENGR079P HM-01 FA2020","40043116"
"ENGR079P HM-03 FA2020","40005411"
"ENGR079P HM-04 FA2020","40169710"
"ENGR079P HM-07 FA2020","40169710"
"ENGR079P HM-05 FA2021","40169272"
"ENGR080  HM-01 SP2020","40169710"
"ENGR080  HM-02 SP2020","40205195"
"ENGR080  HM-03 SP2020","40156848"
"ENGR082  HM-03 FA2020","40005411"
"ENGR085  HM-01 SP2020","40005482"
"ENGR085  HM-01 FA2020","40005482"
"ENGR085  HM-01 FA2021","40005482"
"ENGR086  HM-01 SP2020","40169272"
"ENGR086  HM-01 SU2020","40169272"
"ENGR111  HM-01 SP2020","40043343"
"ENGR111  HM-01 FA2021","40043116"
"ENGR111  HM-01 FA2021","40160594"
"ENGR134  HM-01 SP2020","40005411"
"ENGR155  HM-02 FA2021","40205189"
"ENGR171  HM-01 FA2021","40005433"
"ENGR185A HM-01 FA2021F2","40005500"
"ENGR190ANHM-01 FA2020","40005426"
"ENGR190ASHM-01 SP2021","40169272"
"ENGR190AZHM-01 SP2021","40118595"
"ENGR191  HM-01 SP2020","40043116"
"ENGR191  HM-12 SP2021","40188789"
"ENGR278  HM-01 SP2020","40005433"
"FGSS184  SC-02 SP2020","20264793"
"FGSS186  SC-01 SP2020","20222651"
"FGSS188  SC-01 FA2021","20252263"
"FGSS191  SC-02 SP2020","20042235"
"FHS 010  CM-06 SP2021","30297967"
"FHS 010  CM-10 SP2021","30337784"
"FIN 330  CM-01 SP2021","30087486"
"FIN 360  CM-01 FA2021","30210025"
"FREN001  SC-01 FA2021","20042124"
"FREN022  SC-02 SP2020","20260892"
"FREN022L CM-01 SP2020","30366857"
"FREN033  PO-02 SP2020","10363500"
"FREN033  PO-02 SP2021","10364484"
"FREN044L CM-02 SP2020","30366857"
"FREN044L CM-02 SP2020","30182015"
"FREN100  SC-01 SP2021","20264690"
"FREN115  CM-01 SP2021","30030186"
"FREN152  PO-01 FA2021","10037773"
"FREN178  PO-01 SP2020","10196661"
"FREN192  PO-08 SP2021","10196661"
"FS  002  PZ-01 FA2020","50150292"
"FS  006  PZ-01 FA2020","50010671"
"FS  010  PZ-01 FA2020","50010701"
"FS  017  PZ-01 FA2020","50134270"
"FS  018  PZ-01 FA2020","50010724"
"FS  019  PZ-01 FA2020","50010734"
"FWS 010  CM-08 SP2020","30366867"
"FWS 010  CM-10 SP2020","30274755"
"FWS 010  CM-10 FA2020","30367231"
"FWS 010  CM-01 FA2021","30005072"
"FWS 010  CM-02 FA2021","30346560"
"FWS 010  CM-06 FA2021","30313424"
"GEOL020C PO-01 SP2021","10364499"
"GEOL020E PO-02 FA2020","10126722"
"GEOL129  PO-01 FA2020","10013666"
"GEOL189D PO-01 SP2020","10357912"
"GEOL192  PO-04 FA2020","10357912"
"GEOL192  PO-08 SP2021","10357912"
"GEOL192  PO-04 FA2021","10357912"
"GERM011  PO-01 SP2021","10196894"
"GERM044  SC-01 SP2020","20042169"
"GERM110  SC-01 FA2021","20222669"
"GERM191  PO-04 SP2021","10030143"
"GERM193  PO-08 FA2021","10141237"
"GLAS185  PZ-01 FA2020","50010667"
"GLAS194B PZ-01 FA2021","50010667"
"GOVT020  CM-05 SP2020","30026336"
"GOVT020  CM-06 SP2020","30155928"
"GOVT041  CM-01 SP2020","30322609"
"GOVT060  CM-02 FA2021","30238090"
"GOVT071  CM-01 SP2021","30200474"
"GOVT100  CM-01 SP2021","30004460"
"GOVT110  CM-01 SP2020","30225451"
"GOVT110  CM-01 SP2021","30225451"
"GOVT128  JT-01 SP2021","30225451"
"GOVT131  CM-01 SP2021","30360182"
"GOVT142C CM-01 SP2020","30360182"
"GOVT144D CM-02 FA2020","30238090"
"GOVT157S CM-01 FA2020","30337792"
"GOVT157SBCM-01 SP2021","30016306"
"GREK022  PO-01 FA2020","10254425"
"GREK104  PO-01 SP2021","10254425"
"GWS 026  PO-02 FA2021","10361439"
"GWS 191  PO-08 SP2020","10018364"
"HIST012  PZ-01 FA2021","50010734"
"HIST014  PO-01 FA2020","10042122"
"HIST021  PO-01 SP2020","10361324"
"HIST037  PZ-01 SU2020S1","50010739"
"HIST041  AF-01 SP2021","10351500"
"HIST048  SC-01 SP2021","20042165"
"HIST054  CM-01 FA2021","30212651"
"HIST055  CM-02 FA2020","30274578"
"HIST072  SC-01 FA2021","20043043"
"HIST096  CM-02 FA2020","30312668"
"HIST101W PO-01 SP2021","10042122"
"HIST130  CH-01 SP2020","10042864"
"HIST138  PZ-01 SP2020","50010734"
"HIST139E CM-02 FA2020","30028549"
"HIST150  HM-01 SU2020S2","40155077"
"HIST162  PZ-01 SP2021","50451007"
"HIST166IOSC-01 SP2020","20042121"
"HIST197  PZ-01 FA2021","50058026"
"HMSC191  SC-01 FA2021","20042124"
"HMSC192  SC-01 SP2020","20042117"
"HSA 010  HM-08 SP2020","40005407"
"HSA 010  HM-02 SP2021","40112929"
"ID  001  PO-03 FA2020","10278945"
"ID  001  PO-11 FA2020","10229857"
"ID  001  PO-24 FA2020","10042632"
"ID  080  CM-01 SP2020","30012465"
"ID  080  CM-01 FA2020","30012465"
"ID  100  SC-01 SP2020","20222469"
"ID  185  PO-01 FA2021","10361502"
"ID  191  SC-01 SP2020","20269385"
"ID  191D SC-07 SP2020","50010713"
"ID  191D SC-10 SP2020","50010739"
"ID  191D SC-15 SP2020","20207894"
"ID  191D SC-14 FA2020","20182287"
"ID  191D SC-14 FA2020","10154134"
"ID  191D SC-19 FA2020","20244938"
"ID  199P4PO-01 SP2021","10240152"
"ID  199S3PO-01 FA2020","10240152"
"ID  199S3PO-01 SP2021","10240152"
"ID  200  SC-01 FA2020","20222469"
"IIS 060  PZ-01 SP2020","50010713"
"IIS 190  PZ-01 SP2020","50010713"
"ITAL001  SC-01 SP2021","20265623"
"ITAL002  SC-02 SP2020","20268903"
"ITAL002  SC-01 FA2021","20042124"
"ITAL121  SC-01 SP2021","20256427"
"JAPN001B PO-02 SP2021","10024736"
"JAPN011  PO-01 FA2021","10196894"
"JAPN012B PO-01 SP2020","10144775"
"JAPN051B PO-01 SP2020","10035410"
"JAPN111A PO-01 FA2021","10035410"
"JAPN192  PO-04 FA2020","10089102"
"KORE002  CM-02 SP2021","30087465"
"KORE090  CM-01 FA2021","30372700"
"LAST193  PO-04 SP2020","10042864"
"LATN022  PO-01 SP2021","10183410"
"LATN033  PO-01 FA2020","10337469"
"LATN057  SC-01 FA2020","20042164"
"LEAD151  HM-01 FA2020","40189308"
"LEAD179D HM-01 FA2020","40189308"
"LGCS010  PO-01 SP2020","10351654"
"LGCS010  PO-01 FA2021","10087641"
"LGCS124  PO-01 FA2020","10233155"
"LGCS124  PO-01 FA2021","10351442"
"LGCS130  PO-01 SP2021","10108447"
"LGCS186  PO-01 FA2021","10364497"
"LGCS191  PO-08 SP2020","10000076"
"LGCS191  PO-44 SP2020","10351442"
"LGCS191  PO-16 FA2021","10364754"
"LGCS191  PO-20 FA2021","10087711"
"LGCS193  PO-04 SP2020","10233155"
"LGST198  SC-01 SI2020","20178312"
"LIT 030  CM-01 SP2020","30274755"
"LIT 035  HM-01 SP2020","40174154"
"LIT 060  CM-01 FA2020","30075299"
"LIT 099A CM-01 FA2020","30296520"
"LIT 111  CM-01 SP2020","30238339"
"LIT 112  HM-01 FA2020","40112929"
"LIT 117A HM-01 FA2020","40005340"
"LIT 134  CM-01 SP2020","30027530"
"MATH030  PO-01 FA2020","10032653"
"MATH030  PO-02 FA2020","10031012"
"MATH030  PO-02 SP2021","10364458"
"MATH030  SC-01 SP2020","20249453"
"MATH030  SC-02 FA2021","20101407"
"MATH031  PO-01 SP2021","10365185"
"MATH031  SC-01 FA2021","20042189"
"MATH031H PO-01 SP2021","10089075"
"MATH031S PO-01 FA2020","10029204"
"MATH032  PO-01 SP2020","10361504"
"MATH032  PO-02 FA2020","10361504"
"MATH032  PO-02 FA2020","10032653"
"MATH032H CM-01 FA2020","30226804"
"MATH052  CM-01 SP2020","30278196"
"MATH058  PO-01 SP2020","10032653"
"MATH058  PO-01 FA2021","10148564"
"MATH058  PO-01 FA2021","10365185"
"MATH058B PO-01 SP2020","10032653"
"MATH060  PZ-01 FA2020","50091036"
"MATH073  HM-02 SP2020","40116545"
"MATH082  HM-01 SU2020","40043543"
"MATH082  HM-04 FA2020","40043543"
"MATH082  HM-02 FA2021","40005442"
"MATH111  CM-01 FA2021","30360180"
"MATH131  PO-01 FA2021","10364360"
"MATH152  PO-01 FA2020","10014411"
"MATH152  PO-01 FA2020","10032653"
"MATH154  PO-01 FA2021","10014411"
"MATH168  HM-02 FA2021","40193796"
"MATH171  PO-01 SP2021","10032463"
"MATH172  PO-01 FA2021","10354911"
"MATH173  PO-01 SP2020","10156943"
"MATH174  PO-01 FA2020","10032653"
"MATH181  PO-01 SP2021","10031012"
"MATH189R HM-01 SU2021H2","40005470"
"MATH191  PO-04 FA2021","10138393"
"MATH197  HM-02 SP2020","40043543"
"MATH197  HM-05 SP2020","40043543"
"MATH197  HM-07 SP2020","40043543"
"MATH197  HM-02 FA2020","40043543"
"MATH197  HM-04 FA2020","40043543"
"MATH197  HM-12 SP2021","40043543"
"MATH197  HM-01 FA2021","40005479"
"MATH197  HM-06 FA2021","40043543"
"MATH198  HM-02 SP2020","40150706"
"MATH198  HM-04 SP2020","40199120"
"MATH198  PZ-01 SP2021","50378758"
"MATH198  SC-01 SI2020","20101407"
"MCBI118B HM-01 SP2021P2","40209190"
"MCBI199  HM-01 FA2021","40005453"
"MCSI195  PZ-01 SP2020","50161751"
"MLLC122  PZ-01 FA2020","50010795"
"MOBI188  PO-01 FA2020","10085346"
